epoch,box_loss,cls_loss,l1_loss,dfl_loss,loss_o2m,loss_o2o,prog_alpha,lr,precision,recall,mAP50,mAP50_95,fitness,ms_per_image,epoch_seconds,train_seconds,val_seconds,elapsed_hours
87,1.41043,1.74078,1.14308,0,4.21774,4.4085,0.598662,0.00408065,0.509862,0.906225,0.7528,0.394622,0.43044,1.08482,134.799,119.265,15.5339,2.79764
88,1.40138,1.72734,1.12494,0,4.17952,4.36315,0.596321,0.00406092,0.512129,0.90545,0.754337,0.396383,0.432179,1.07599,134.668,119.174,15.4933,2.83528
89,1.41077,1.74451,1.13624,0,4.21407,4.40485,0.59398,0.00404103,0.51133,0.906448,0.750965,0.394755,0.430376,1.03958,135.577,120.191,15.3852,2.87325
90,1.4073,1.7361,1.1393,0,4.20599,4.39385,0.591639,0.00402099,0.512542,0.907833,0.749685,0.394206,0.429754,1.0636,135.812,120.29,15.5215,2.91121
91,1.39899,1.73534,1.13354,0,4.19226,4.37634,0.589298,0.00400079,0.51143,0.910163,0.749705,0.395216,0.430665,1.08763,135.347,120.266,15.0808,2.94907
92,1.40554,1.74723,1.12469,0,4.20067,4.38657,0.586957,0.00398044,0.512521,0.909815,0.750964,0.396237,0.43171,1.07498,134.935,119.446,15.4897,2.98678
93,1.39563,1.72525,1.12269,0,4.17011,4.34697,0.584615,0.00395995,0.51383,0.909086,0.752223,0.396877,0.432412,1.05747,135.109,119.666,15.4434,3.02453
94,1.40151,1.72634,1.12686,0,4.17092,4.3715,0.582274,0.0039393,0.513335,0.911233,0.74996,0.396265,0.431635,1.04626,135.562,120.097,15.4651,3.0625
95,1.40081,1.73007,1.12213,0,4.17179,4.36516,0.579933,0.00391852,0.515054,0.911566,0.751013,0.395479,0.431032,0.982207,134.998,118.494,16.5039,3.10023
96,1.39676,1.71941,1.12228,0,4.16508,4.33878,0.577592,0.00389759,0.513851,0.914038,0.749992,0.394385,0.429946,1.06506,137.752,122.154,15.598,3.13873
97,1.40215,1.74187,1.11904,0,4.18216,4.37263,0.575251,0.00387652,0.509847,0.912673,0.749869,0.394065,0.429645,1.02339,136.918,121.628,15.2909,3.17707
98,1.39266,1.71947,1.10084,0,4.13554,4.31685,0.57291,0.00385531,0.512558,0.915059,0.752085,0.395676,0.431317,1.0082,136.136,120.86,15.2767,3.21512
99,1.40317,1.73063,1.11187,0,4.16426,4.35385,0.570569,0.00383397,0.513987,0.91425,0.753946,0.397531,0.433173,1.001,137.968,122.689,15.2792,3.25369
100,1.39753,1.71011,1.11053,0,4.13999,4.32105,0.568227,0.0038125,0.512376,0.914148,0.75414,0.39818,0.433776,0.984982,136.064,120.137,15.927,3.29181
101,1.38698,1.69684,1.10725,0,4.11791,4.28643,0.565886,0.0037909,0.513433,0.914926,0.755324,0.399406,0.434998,1.06119,136.737,121.18,15.5575,3.33009
102,1.39494,1.71786,1.1212,0,4.15181,4.34012,0.563545,0.00376916,0.513075,0.915914,0.753802,0.39863,0.434147,0.987396,138.302,122.721,15.5816,3.36884
103,1.39593,1.71502,1.10576,0,4.13347,4.32318,0.561204,0.00374731,0.51632,0.918445,0.754355,0.398841,0.434393,1.07308,136.575,120.213,16.3613,3.40702
104,1.39452,1.71946,1.12185,0,4.15658,4.33625,0.558863,0.00372533,0.518313,0.919647,0.757523,0.401353,0.43697,1.11463,142.14,125.244,16.8956,3.4468
105,1.39107,1.70245,1.10479,0,4.11786,4.29926,0.556522,0.00370323,0.517827,0.918898,0.759307,0.402917,0.438556,0.998848,130.102,114.134,15.9682,3.48322
106,1.39046,1.71972,1.10356,0,4.12853,4.31964,0.554181,0.00368101,0.515886,0.921351,0.757996,0.401789,0.437409,1.03899,121.468,105.198,16.2693,3.51735
107,1.38424,1.69385,1.10723,0,4.10936,4.27884,0.551839,0.00365867,0.516922,0.923703,0.759655,0.402132,0.437884,0.951641,103.343,92.4989,10.8443,3.54636
108,1.39398,1.70834,1.11156,0,4.12984,4.31638,0.549498,0.00363623,0.519328,0.924045,0.759534,0.400943,0.436802,0.934824,105.117,96.4476,8.66895,3.5757
109,1.3848,1.70087,1.10378,0,4.10842,4.28737,0.547157,0.00361367,0.518963,0.92526,0.759384,0.400889,0.436738,1.0089,111.907,94.9589,16.9483,3.60694
110,1.39007,1.69397,1.0874,0,4.0855,4.2743,0.544816,0.003591,0.519453,0.928332,0.76099,0.401841,0.437756,1.10168,135.526,117.732,17.794,3.64484
111,1.39148,1.70878,1.11285,0,4.12983,4.31186,0.542475,0.00356823,0.520126,0.929648,0.760218,0.401962,0.437787,1.07277,142.313,125.377,16.9363,3.68465
112,1.38265,1.69584,1.11181,0,4.1148,4.27898,0.540134,0.00354535,0.519376,0.929898,0.761529,0.402742,0.438621,1.05525,141.568,124.685,16.8829,3.72426
113,1.38263,1.70458,1.10791,0,4.10982,4.29437,0.537793,0.00352237,0.520144,0.929942,0.761796,0.403459,0.439293,1.11351,145.151,126.988,18.1638,3.76495
