epoch,box_loss,cls_loss,l1_loss,loss_o2m,loss_o2o,prog_alpha,lr,precision,recall,mAP50,mAP50_95,fitness,ms_per_image
175,1.36993,1.34897,1.07792,3.67753,3.87395,0.392642,0.0020103,0.594289,0.938595,0.878085,0.468278,0.509259,0.951468
176,1.36638,1.35041,1.09157,3.6889,3.88483,0.390301,0.00198632,0.598196,0.938307,0.878702,0.468851,0.509836,0.952296
177,1.36165,1.34119,1.09614,3.67713,3.87622,0.38796,0.0019624,0.599665,0.938522,0.879471,0.470058,0.510999,0.936861
178,1.36617,1.34585,1.08968,3.68011,3.87802,0.385619,0.00193855,0.599261,0.938234,0.879356,0.470013,0.510947,0.961943
179,1.37598,1.34459,1.07702,3.66977,3.87702,0.383278,0.00191478,0.599508,0.937616,0.880267,0.470626,0.51159,0.957771
180,1.37303,1.34839,1.0782,3.66913,3.87991,0.380936,0.00189108,0.59948,0.938019,0.879769,0.470352,0.511294,0.941342
181,1.36866,1.34763,1.09652,3.68289,3.89196,0.378595,0.00186747,0.599488,0.938965,0.879646,0.470291,0.511226,0.940087
182,1.37254,1.34126,1.08243,3.67614,3.86867,0.376254,0.00184394,0.600336,0.938334,0.880003,0.470546,0.511492,0.945887
183,1.36803,1.35323,1.08068,3.67033,3.88055,0.373913,0.0018205,0.599429,0.938003,0.880479,0.470805,0.511772,0.959329
184,1.36892,1.34791,1.08983,3.68054,3.88124,0.371572,0.00179714,0.599691,0.938837,0.880668,0.470725,0.511719,0.945643
185,1.36345,1.34045,1.07889,3.64912,3.86104,0.369231,0.00177388,0.599499,0.938622,0.880895,0.471157,0.512131,0.941893
186,1.36016,1.33367,1.0926,3.65883,3.86038,0.36689,0.0017507,0.603385,0.940579,0.881597,0.47167,0.512663,0.958776
187,1.36441,1.33812,1.08359,3.65985,3.85855,0.364548,0.00172763,0.604195,0.94033,0.881705,0.471999,0.512969,0.961561
188,1.36091,1.32787,1.08668,3.65124,3.84601,0.362207,0.00170465,0.603079,0.939183,0.882026,0.472104,0.513096,0.954762
189,1.37098,1.33466,1.09455,3.67255,3.87194,0.359866,0.00168177,0.605645,0.939183,0.882321,0.472495,0.513477,0.951438
190,1.36822,1.31951,1.06699,3.63101,3.82357,0.357525,0.001659,0.606903,0.939298,0.883062,0.472339,0.513411,0.953532
191,1.36776,1.32367,1.08514,3.65427,3.84393,0.355184,0.00163633,0.607439,0.939298,0.882944,0.471823,0.512935,0.948862
192,1.35503,1.32307,1.05933,3.61047,3.80666,0.352843,0.00161377,0.607981,0.940016,0.882461,0.471952,0.513003,0.947572
193,1.36033,1.3274,1.08001,3.64668,3.83305,0.350502,0.00159133,0.60855,0.939759,0.882307,0.472479,0.513462,0.946556
194,1.3543,1.32108,1.06731,3.62027,3.80807,0.348161,0.00156899,0.608299,0.940304,0.881887,0.472288,0.513248,0.93899
195,1.35601,1.31411,1.06827,3.61378,3.80428,0.345819,0.00154677,0.608758,0.940958,0.88178,0.4716,0.512618,0.956494
196,1.365,1.32103,1.06446,3.62288,3.81724,0.343478,0.00152467,0.608057,0.940691,0.881696,0.471654,0.512658,0.945545
197,1.35285,1.30006,1.06999,3.59865,3.78723,0.341137,0.00150269,0.608733,0.940691,0.882404,0.472195,0.513216,0.938327
198,1.35389,1.32033,1.06568,3.61358,3.80462,0.338796,0.00148084,0.611044,0.941022,0.882708,0.472411,0.51344,0.957268
199,1.35122,1.30787,1.07012,3.60893,3.79019,0.336455,0.0014591,0.612702,0.940895,0.883271,0.472946,0.513978,0.946829
200,1.35828,1.31553,1.06208,3.60732,3.8004,0.334114,0.0014375,0.612789,0.940434,0.882923,0.473635,0.514564,0.944384
